,date,reserve0,reserve1
444,1618059600,5533.38002777,4533772.432330792708962197
445,1618063200,5610.948470931,4486618.65205740484115146
446,1618066800,5484.904551797,4870950.43337388316629966
447,1618070400,5903.833038874,4985979.948122265889271915
448,1618074000,5895.459454197,5001130.667647156942714941
449,1618077600,5968.335188036,4940753.098526764394993623
450,1618081200,6020.902642061,4898312.156509557219346606
451,1618084800,5908.138077482,4745356.350246274023887125
452,1618088400,5957.925866489,4707763.896490059952799495
453,1618092000,5977.184094047,4659498.560336905790581665
454,1618095600,5915.255535653,4705048.951595098386134781
455,1618099200,5869.653670796,4749696.031324357891301065
456,1618102800,5298.915329616,4772254.282322863082045182
457,1618106400,5674.368692816,4678552.710999653698824043
458,1618110000,5432.289099044,4870023.801268905360997956
459,1618113600,5198.743736615,5161373.163116434522826908
460,1618117200,5394.679322793,5004013.324166158449535539
461,1618120800,5405.835810086,5005940.040796285953563624
462,1618124400,5524.601417779,4898992.525616791439665583
463,1618128000,5530.259241379,4895502.552854967588878345
464,1618131600,5511.005045693,4912671.319411079817891278
465,1618135200,5552.244405817,4876354.296295083894353211
466,1618138800,5567.476361136,4863067.607579569329577508
467,1618142400,5560.565951827,4869166.189087656258741776
468,1618146000,5561.327933262,4920081.163066269348163468
469,1618149600,5614.035985361,4904617.036940457543772534
470,1618153200,5613.903123861,4912270.077093636967538242
471,1618156800,5633.722109256,4915508.949222732611760721
472,1618160400,5611.413694791,4948758.159690592942523991
473,1618164000,5572.218296712,4909091.745323180924548531
474,1618167600,5558.426846468,4921855.304088344125656251
475,1618171200,5630.825528629,4917130.519413833628568584
476,1618174800,5689.406399944,5002126.469146532725591928
477,1618178400,5672.009008913,5081720.360711660862475709
478,1618182000,5745.234903302,5035556.853754287930598975
479,1618185600,5801.237390812,5158955.072041637060244623
480,1618189200,5836.136304622,5134116.820535060745331454
481,1618192800,5873.797408272,5106335.610000270694810047
482,1618196400,5951.186909609,5058719.789516312077028183
483,1618200000,5899.465759635,5103272.53295443973505785
484,1618203600,5894.191789182,5107906.139394684337546177
485,1618207200,5973.065555713,5049787.217689882329077124
486,1618210800,6006.72947354,5029268.845564943359675685
487,1618214400,6027.418566183,5012106.925629727018812965
488,1618218000,6058.870416443,5007440.540871510771473196
489,1618221600,6057.322964612,5018182.309838798953916623
490,1618225200,6032.150592237,5039221.467097808526058172
491,1618228800,6015.895930486,5052908.438535939482971272
492,1618232400,6401.187260666,5324188.099303426868873203
493,1618236000,6332.382555504,5473943.034481456830577162
494,1618239600,6466.846930879,5360625.713510421198363895
495,1618243200,6430.116623094,5430677.196562973954377056
496,1618246800,6433.447803328,5429292.389547433566025505
497,1618250400,6505.986479583,5383266.021799830004098829
498,1618254000,6550.892021822,5356304.314266510452977957
499,1618257600,6538.06657852,5331293.928497335563547858
500,1618261200,6514.014806785,5361056.754739483671156118
501,1618264800,6466.739437852,5400679.297696058894183415
502,1618268400,6400.798917745,5447427.578138138377442519
503,1618272000,6432.985142786,5420290.837775200844364603
504,1618275600,6383.426840687,5462553.898543416612150938
505,1618279200,6364.67020443,5478722.918714921805149438
506,1618282800,6343.527575857,5513744.193346775881228751
507,1618286400,6422.81749428,5446107.856546524018797605
508,1618290000,6526.637515151,5371233.529063930793263678
509,1618293600,6541.655187717,5352008.172058761186511031
510,1618297200,6507.508570471,5380364.857467175054716933
511,1618300800,6504.589350274,5382811.626044187084870742
512,1618304400,6507.051174263,5380793.655446797097268779
513,1618308000,6483.854039159,5400102.38606952434330145
514,1618311600,6484.179763439,5449160.480022535492982011
515,1618315200,6495.326559565,5447416.762625483556515891
516,1618318800,6589.487252272,5450908.151202871446340054
517,1618322400,6502.439613438,5594902.516401784059942778
518,1618326000,6593.122417482,5621385.125312971757470685
519,1618329600,6876.618198595,5624020.545223201765007632
520,1618333200,6855.866335156,5588251.917391527055802494
521,1618336800,6739.631950244,5616552.191989120533411572
522,1618340400,6766.935452505,5610502.213137072159814307
523,1618344000,6778.370991787,5610723.410868131736512039
524,1618347600,6795.885352021,5652670.942714574462247375
525,1618351200,6828.943713693,5684695.834258281260004779
526,1618354800,6799.277945326,5712614.171339031578787034
527,1618358400,6787.889631987,5722227.301841829845003816
528,1618362000,6779.286129667,5748989.394906760905891735
529,1618365600,6750.336149606,5783682.41476673693601832
530,1618369200,6742.69326004,5790285.450649114515383147
531,1618372800,6736.146840565,5795935.266659463733134205
532,1618376400,6774.709206463,5879038.451238315622200836
533,1618380000,6834.115632078,5941450.148129616397536889
534,1618383600,6891.448122137,5894034.512410985218094542
535,1618387200,6795.513203315,5985184.067392443585300301
536,1618390800,6782.038719053,6007343.370368923340238794
537,1618394400,6752.927883856,6036898.827415506401607332
538,1618398000,7048.104618141,6154022.900151994074454819
539,1618401600,6727.825157783,6463831.663916262229429376
540,1618405200,7136.918112366,6044865.751545288907825766
541,1618408800,7984.807912236,5723977.485922845305499766
542,1618412400,7416.641600673,6229253.149275146765990315
543,1618416000,7519.420513892,6193816.554772832381873562
544,1618419600,7494.514922153,6214632.891278704757625133
545,1618423200,7467.215697038,6237455.641938037997988257
546,1618426800,7480.031738581,6227086.173414398279938904
547,1618430400,7347.137259208,6419235.224223392519887568
548,1618434000,7328.472937819,6435975.369501339866075873
549,1618437600,7405.383785923,6382461.968644103598164912
550,1618441200,7436.091325796,6364750.387888777660087861
551,1618444800,7431.384448287,6355773.722634091941042039
552,1618448400,7475.820421621,6380250.618147042215868605
553,1618452000,7350.530884945,6497393.728374631372219574
554,1618455600,7429.505124726,6637527.769235151217076298
555,1618459200,7347.637175346,6711886.190850723975897375
556,1618462800,7548.88255138,6533633.426326730219815892
557,1618466400,7636.343591147,6615228.76636986177533863
