,blockNumber,erc20CoinTotalSupply,globalDebt,marketPriceEth,marketPriceUsd,redemptionPrice,timestamp,redemptionPriceActual,redemptionRateActual
29,11868901,7314.514977346455,9065.213010102432,0.0022590300135853563,4.045818950388699,"{'block': '11868844', 'id': '0x0e2d7b51aeaa0a7d490ecd34c1def47f5cee2353d811349bf921aa57c38f470f-295', 'redemptionRate': '0.999999999991814833189655152', 'value': '3.139999511838839066740977173'}",1613492473,3.139999511838839,0.9999999999918149
30,11869333,8004.515018562104,8953.051932771312,0.002879566488131024,5.062763542760694,"{'block': '11869116', 'id': '0xf1afb4a10d6afa22e478762b632b5be1395c87c8f70af2c39768950ceb75294a-242', 'redemptionRate': '0.999999999991814833189655152', 'value': '3.13999941910811783762843794'}",1613498315,3.139999419108118,0.9999999999918149
31,11869538,8004.515018562104,8953.051932771312,0.002879566488131024,5.029708047001165,"{'block': '11869383', 'id': '0x15b91063d33bb886a2096f447abdb091c41416b76b475b609ff22ff235d71b24-117', 'redemptionRate': '0.999999999991814833189655152', 'value': '3.139999324192778794782725233'}",1613500967,3.139999324192779,0.9999999999918149
32,11869788,8004.515018562104,8952.96768737707,0.002879566488131024,5.029708047001165,"{'block': '11869644', 'id': '0xd2519ac432ccf04bfbc02d1081815e29ae19e6a3601da38fa41fcc469a873ec1-103', 'redemptionRate': '0.999999999990786979710005093', 'value': '3.139999229396154470618712938'}",1613504419,3.1399992293961545,0.9999999999907869
33,11870145,9004.515018562104,9952.820763644744,0.002879566488131024,5.032791125295879,"{'block': '11869927', 'id': '0x8b7c21336c0b7c51f8ef3073703f01a50865947d294bc8878369f8bf641cb537-116', 'redemptionRate': '0.999999999990786979710005093', 'value': '3.139999124789338387228865186'}",1613509083,3.1399991247893384,0.9999999999907869
34,11870443,9054.515018562104,10002.820763644744,0.0025988926408264668,4.558182523439882,"{'block': '11870443', 'id': '0xce185580d0500172be67a1f6ed8162c7876aa5058943afb7fd9ac9fff70494b2-95', 'redemptionRate': '0.999999999990786979710005093', 'value': '3.139998915893934286086554094'}",1613513339,3.1399989158939343,0.9999999999907869
35,11870767,9254.515018562104,10203.072145912165,0.002690113310514827,4.756819762450949,"{'block': '11870713', 'id': '0x05b8333b32baae808e06160062b405f961ba417e3320387339d1c1614c4d4dbf-226', 'redemptionRate': '0.999999999989412272601293212', 'value': '3.139998810226550156693189145'}",1613517580,3.13999881022655,0.9999999999894122
36,11870961,9654.515018562104,10603.096086573727,0.0024830454901359476,4.390670018387791,"{'block': '11870713', 'id': '0x05b8333b32baae808e06160062b405f961ba417e3320387339d1c1614c4d4dbf-226', 'redemptionRate': '0.999999999989412272601293212', 'value': '3.139998810226550156693189145'}",1613520522,3.13999881022655,0.9999999999894122
37,11871228,9784.515018562104,10733.107239915416,0.0026338433356151393,4.695036453200835,"{'block': '11871227', 'id': '0x73182fd3979f4534e4b2fb14b637aa7685f7f5cc2c1a9dde48191e1d01ae21e2-171', 'redemptionRate': '0.999999999989412272601293212', 'value': '3.139998570526854458529449748'}",1613524115,3.1399985705268545,0.9999999999894122
38,11871495,209784.51501856212,210733.36333607114,0.002207183936943583,3.909673194865647,"{'block': '11871483', 'id': '0x6a48a40d9394d29b7d36c720c4e6bb18d0f6f2fcaf23cd3822dfa27417511e62-271', 'redemptionRate': '0.999999999989412272601293212', 'value': '3.139998451574640557319593393'}",1613527832,3.1399984515746406,0.9999999999894122
39,11871769,264184.5150185621,265133.66264160926,0.001609872158835989,2.8504551345766185,"{'block': '11871753', 'id': '0x07a94cab59fd12f581335448e16d6e84b2e2fbbf5deedd6ceb03e3d9e0131a40-249', 'redemptionRate': '0.999999999989412272601293212', 'value': '3.139998331957522234865999446'}",1613531491,3.139998331957522,0.9999999999894122
40,11872047,269184.5150185621,270134.5838166173,0.0019369616085485664,3.4296028614825804,"{'block': '11872043', 'id': '0xe3fdfdf297fb4af86a7a4528d7ddb383365e31f9785b62c0385a82cf3acc21d8-155', 'redemptionRate': '0.99999999999297608208828276', 'value': '3.139998250253984097805081194'}",1613534905,3.139998250253984,0.9999999999929761
41,11872406,280446.07458559045,282634.8355395337,0.0018614923265843069,3.2409139853530755,"{'block': '11872315', 'id': '0x990150fa3c773a45bea881e9bc27677d9220853080d9430e0060077e8fc9fc16-171', 'redemptionRate': '0.99999999999297608208828276', 'value': '3.139998170943881629153957188'}",1613539781,3.1399981709438816,0.9999999999929761
42,11872744,280443.04645579687,281396.39510656206,0.00186620342345815,3.2978149138928483,"{'block': '11872579', 'id': '0xb67159a201baa365605482f357b2a6ea43d5a494d60d64940ec97b5c5668e41a-316', 'redemptionRate': '0.99999999999297608208828276', 'value': '3.139998091347065008828559957'}",1613544207,3.139998091347065,0.9999999999929761
43,11872943,280443.04645579687,281396.39510656206,0.00186620342345815,3.351125855008217,"{'block': '11872864', 'id': '0x19527638a4ba54d6a55dae29d43d4e5b7706d3c178637f46d33c07cb9e22ac74-176', 'redemptionRate': '0.99999999999297608208828276', 'value': '3.139998009765292461874699872'}",1613546764,3.1399980097652924,0.9999999999929761
44,11873231,280443.04645579687,281398.42422861006,0.0018607052299780288,3.337971055281501,"{'block': '11873145', 'id': '0x0d0dc8541233b7f4383fea092f0cebe6aec24fcff77fefe31b89607fe37c766a-293', 'redemptionRate': '0.999999999995517810637933345', 'value': '3.139997952302344127658753193'}",1613550597,3.1399979523023442,0.9999999999955178
45,11873560,280443.04645579687,281398.96533332684,0.0018784176372665861,3.369745837173881,"{'block': '11873428', 'id': '0xe43be751c8b7c5b67e9676319c87a807ff2e6707af1891b1e145b0be24b2791d-215', 'redemptionRate': '0.999999999995517810637933345', 'value': '3.139997902043856919510804449'}",1613554511,3.139997902043857,0.9999999999955178
46,11873687,280943.0304909943,281899.6347488462,0.0018145544732714781,3.2910576659553077,"{'block': '11873428', 'id': '0xe43be751c8b7c5b67e9676319c87a807ff2e6707af1891b1e145b0be24b2791d-215', 'redemptionRate': '0.999999999995517810637933345', 'value': '3.139997902043856919510804449'}",1613556146,3.139997902043857,0.9999999999955178
